time,SkinResponse,Name
275,5.73,Subject001
276,5.66,Subject001
277,5.65,Subject001
278,5.75,Subject001
279,5.7,Subject001
280,5.63,Subject001
281,5.58,Subject001
282,5.68,Subject001
283,6.07,Subject001
284,6.27,Subject001
285,6.18,Subject001
286,6.27,Subject001
287,6.46,Subject001
288,6.5,Subject001
289,6.52,Subject001
290,6.84,Subject001
291,7.11,Subject001
292,7.26,Subject001
293,7.56,Subject001
294,7.9,Subject001
295,8.16,Subject001
296,8.14,Subject001
297,7.92,Subject001
298,7.65,Subject001
299,7.51,Subject001
300,8.04,Subject001
301,8.05,Subject001
302,8.07,Subject001
303,7.85,Subject001
304,7.64,Subject001
305,7.5,Subject001
306,7.34,Subject001
307,7.59,Subject001
308,7.71,Subject001
309,7.5,Subject001
310,7.36,Subject001
311,7.18,Subject001
312,6.95,Subject001
313,6.73,Subject001
314,6.62,Subject001
315,6.56,Subject001
316,6.52,Subject001
317,6.53,Subject001
318,6.63,Subject001
319,6.57,Subject001
320,6.51,Subject001
321,6.42,Subject001
322,6.47,Subject001
323,6.61,Subject001
324,6.63,Subject001
325,6.66,Subject001
326,6.53,Subject001
327,6.53,Subject001
328,6.65,Subject001
329,6.61,Subject001
330,6.5,Subject001
331,6.44,Subject001
332,6.49,Subject001
333,6.61,Subject001
334,6.45,Subject001
335,6.29,Subject001
336,6.21,Subject001
337,6.17,Subject001
338,6.12,Subject001
339,6.22,Subject001
340,6.26,Subject001
341,6.18,Subject001
342,6.43,Subject001
343,6.63,Subject001
344,6.77,Subject001
345,6.7,Subject001
346,6.62,Subject001
347,6.86,Subject001
348,7.0,Subject001
349,6.84,Subject001
350,6.57,Subject001
351,6.36,Subject001
352,6.42,Subject001
353,6.74,Subject001
354,6.77,Subject001
355,6.72,Subject001
356,6.77,Subject001
357,7.0,Subject001
358,7.13,Subject001
359,7.21,Subject001
360,7.17,Subject001
361,7.0,Subject001
362,6.81,Subject001
363,7.18,Subject001
364,7.41,Subject001
365,7.44,Subject001
366,7.25,Subject001
367,6.95,Subject001
368,6.75,Subject001
369,6.72,Subject001
370,6.73,Subject001
371,6.73,Subject001
372,6.6,Subject001
373,6.47,Subject001
374,6.44,Subject001
375,6.39,Subject001
376,6.33,Subject001
377,6.29,Subject001
378,6.23,Subject001
379,6.2,Subject001
380,6.13,Subject001
381,6.11,Subject001
382,6.09,Subject001
383,6.05,Subject001
384,6.01,Subject001
385,5.98,Subject001
386,5.95,Subject001
387,5.92,Subject001
388,5.99,Subject001
389,6.19,Subject001
390,6.35,Subject001
391,6.31,Subject001
392,6.16,Subject001
393,6.01,Subject001
394,5.96,Subject001
395,5.93,Subject001
396,5.99,Subject001
397,5.98,Subject001
398,5.93,Subject001
399,5.86,Subject001
400,5.8,Subject001
401,5.79,Subject001
402,5.82,Subject001
403,5.81,Subject001
404,5.78,Subject001
405,5.75,Subject001
406,5.74,Subject001
407,5.72,Subject001
408,5.68,Subject001
409,5.66,Subject001
410,5.74,Subject001
411,5.77,Subject001
412,5.74,Subject001
413,5.7,Subject001
414,5.67,Subject001
415,5.75,Subject001
416,5.82,Subject001
417,5.79,Subject001
418,5.77,Subject001
419,5.95,Subject001
420,6.09,Subject001
421,6.02,Subject001
422,5.89,Subject001
423,5.78,Subject001
424,5.69,Subject001
425,5.65,Subject001
426,5.86,Subject001
427,6.01,Subject001
428,5.96,Subject001
429,5.85,Subject001
430,6.04,Subject001
431,6.17,Subject001
432,6.14,Subject001
433,6.04,Subject001
434,5.93,Subject001
435,6.09,Subject001
436,6.29,Subject001
437,6.24,Subject001
438,6.07,Subject001
439,5.93,Subject001
440,5.81,Subject001
441,5.71,Subject001
442,5.79,Subject001
443,5.92,Subject001
444,5.91,Subject001
445,6.12,Subject001
446,6.58,Subject001
447,6.7,Subject001
448,6.75,Subject001
449,6.68,Subject001
450,6.6,Subject001
451,6.63,Subject001
452,6.51,Subject001
453,6.31,Subject001
454,6.18,Subject001
455,6.13,Subject001
456,6.1,Subject001
457,6.03,Subject001
458,5.97,Subject001
459,5.91,Subject001
460,5.85,Subject001
461,5.83,Subject001
462,5.8,Subject001
463,5.8,Subject001
464,5.76,Subject001
465,5.75,Subject001
466,5.76,Subject001
467,5.76,Subject001
468,5.73,Subject001
469,5.68,Subject001
470,5.67,Subject001
471,5.69,Subject001
472,5.7,Subject001
473,5.76,Subject001
474,5.74,Subject001
475,5.7,Subject001
476,5.65,Subject001
477,5.64,Subject001
478,5.6,Subject001
479,5.57,Subject001
480,5.54,Subject001
481,5.52,Subject001
482,5.51,Subject001
483,5.48,Subject001
484,5.47,Subject001
485,5.46,Subject001
486,5.47,Subject001
487,5.46,Subject001
488,5.45,Subject001
489,5.45,Subject001
490,5.46,Subject001
491,5.46,Subject001
492,5.45,Subject001
493,5.42,Subject001
494,5.41,Subject001
495,5.5,Subject001
496,5.52,Subject001
497,5.5,Subject001
498,5.46,Subject001
499,5.42,Subject001
500,5.39,Subject001
501,5.38,Subject001
502,5.36,Subject001
503,5.37,Subject001
504,5.41,Subject001
505,5.55,Subject001
506,5.52,Subject001
507,5.49,Subject001
508,5.43,Subject001
509,5.37,Subject001
510,5.32,Subject001
511,5.31,Subject001
512,5.3,Subject001
513,5.32,Subject001
514,5.32,Subject001
515,5.3,Subject001
516,5.27,Subject001
517,5.24,Subject001
518,5.22,Subject001
519,5.21,Subject001
520,5.19,Subject001
521,5.17,Subject001
522,5.18,Subject001
523,5.16,Subject001
524,5.15,Subject001
525,5.18,Subject001
526,5.15,Subject001
527,5.13,Subject001
528,5.11,Subject001
529,5.09,Subject001
530,5.07,Subject001
531,5.06,Subject001
532,5.08,Subject001
533,5.13,Subject001
534,5.1,Subject001
535,5.12,Subject001
536,5.09,Subject001
537,5.05,Subject001
538,5.03,Subject001
539,5.04,Subject001
540,5.03,Subject001
541,5.01,Subject001
542,5.01,Subject001
543,5.02,Subject001
544,5.03,Subject001
545,5.1,Subject001
546,5.13,Subject001
547,5.09,Subject001
548,5.05,Subject001
549,5.02,Subject001
550,4.99,Subject001
551,4.98,Subject001
552,4.97,Subject001
553,4.96,Subject001
554,4.95,Subject001
555,4.94,Subject001
556,4.93,Subject001
557,4.91,Subject001
558,4.91,Subject001
559,4.92,Subject001
560,4.94,Subject001
561,5.01,Subject001
562,5.06,Subject001
563,5.02,Subject001
564,4.98,Subject001
565,4.97,Subject001
566,4.96,Subject001
567,4.95,Subject001
568,4.94,Subject001
569,4.95,Subject001
570,4.98,Subject001
571,5.12,Subject001
572,5.16,Subject001
573,5.16,Subject001
574,5.15,Subject001
575,5.11,Subject001
576,5.06,Subject001
577,5.07,Subject001
578,5.06,Subject001
579,5.08,Subject001
580,5.43,Subject001
581,5.78,Subject001
582,5.81,Subject001
583,5.68,Subject001
584,5.5,Subject001
585,5.4,Subject001
586,5.34,Subject001
587,5.28,Subject001
588,5.22,Subject001
589,5.24,Subject001
590,5.23,Subject001
591,5.24,Subject001
592,5.49,Subject001
593,5.81,Subject001
594,5.85,Subject001
595,5.71,Subject001
596,5.59,Subject001
597,5.49,Subject001
598,5.43,Subject001
599,5.41,Subject001
600,5.38,Subject001
601,5.38,Subject001
602,5.38,Subject001
603,5.48,Subject001
604,5.53,Subject001
605,5.49,Subject001
606,5.4,Subject001
607,5.34,Subject001
608,5.3,Subject001
609,5.37,Subject001
610,5.44,Subject001
611,5.4,Subject001
612,5.35,Subject001
613,5.54,Subject001
614,6.04,Subject001
615,6.15,Subject001
616,6.0,Subject001
617,5.98,Subject001
618,6.0,Subject001
619,5.9,Subject001
620,5.75,Subject001
621,5.63,Subject001
622,5.56,Subject001
623,5.51,Subject001
624,5.54,Subject001
625,5.88,Subject001
626,5.98,Subject001
627,5.86,Subject001
628,5.72,Subject001
629,5.63,Subject001
630,5.68,Subject001
631,6.03,Subject001
632,6.1,Subject001
633,5.98,Subject001
634,5.85,Subject001
635,5.76,Subject001
636,6.11,Subject001
637,6.57,Subject001
638,6.81,Subject001
639,7.02,Subject001
640,7.24,Subject001
641,7.29,Subject001
642,7.0,Subject001
643,6.68,Subject001
644,6.48,Subject001
645,6.35,Subject001
646,6.35,Subject001
647,6.34,Subject001
648,6.27,Subject001
649,6.2,Subject001
650,6.17,Subject001
651,6.43,Subject001
652,6.58,Subject001
653,6.81,Subject001
654,6.8,Subject001
655,6.56,Subject001
656,6.32,Subject001
657,6.15,Subject001
658,6.07,Subject001
659,6.06,Subject001
660,6.02,Subject001
661,6.17,Subject001
662,6.41,Subject001
663,6.44,Subject001
664,6.61,Subject001
665,6.51,Subject001
666,6.28,Subject001
667,6.08,Subject001
668,6.01,Subject001
669,6.06,Subject001
670,6.01,Subject001
671,5.93,Subject001
672,5.85,Subject001
673,5.79,Subject001
674,5.73,Subject001
675,5.7,Subject001
676,5.7,Subject001
677,5.94,Subject001
678,6.02,Subject001
679,6.26,Subject001
680,6.33,Subject001
681,6.24,Subject001
682,6.16,Subject001
683,6.2,Subject001
684,6.09,Subject001
685,5.94,Subject001
686,5.93,Subject001
687,6.2,Subject001
688,6.27,Subject001
689,6.39,Subject001
690,6.59,Subject001
691,6.58,Subject001
692,6.42,Subject001
693,6.24,Subject001
694,6.1,Subject001
695,6.0,Subject001
696,5.98,Subject001
697,6.39,Subject001
698,6.56,Subject001
699,6.7,Subject001
700,6.64,Subject001
701,6.45,Subject001
702,6.45,Subject001
703,6.55,Subject001
704,6.49,Subject001
705,6.31,Subject001
706,6.19,Subject001
707,6.1,Subject001
708,6.02,Subject001
709,6.03,Subject001
710,6.0,Subject001
711,5.94,Subject001
712,5.93,Subject001
713,6.16,Subject001
714,6.25,Subject001
715,6.16,Subject001
716,6.16,Subject001
717,6.26,Subject001
718,6.18,Subject001
719,6.07,Subject001
720,6.28,Subject001
721,6.38,Subject001
722,6.27,Subject001
723,6.17,Subject001
724,6.12,Subject001
725,6.04,Subject001
726,5.95,Subject001
727,5.89,Subject001
728,6.18,Subject001
729,6.32,Subject001
730,6.22,Subject001
731,6.05,Subject001
732,5.93,Subject001
733,5.84,Subject001
734,5.78,Subject001
735,5.73,Subject001
736,5.73,Subject001
737,5.71,Subject001
738,5.69,Subject001
739,5.7,Subject001
740,5.67,Subject001
741,5.64,Subject001
742,5.68,Subject001
743,5.69,Subject001
744,5.73,Subject001
745,5.74,Subject001
746,5.71,Subject001
747,5.68,Subject001
748,5.82,Subject001
749,5.83,Subject001
750,5.79,Subject001
751,5.73,Subject001
752,5.68,Subject001
753,5.65,Subject001
754,5.64,Subject001
755,5.62,Subject001
756,5.6,Subject001
757,5.61,Subject001
758,5.59,Subject001
759,5.66,Subject001
760,5.89,Subject001
761,5.89,Subject001
762,5.82,Subject001
763,5.73,Subject001
764,5.68,Subject001
765,5.66,Subject001
766,5.63,Subject001
767,5.6,Subject001
768,5.57,Subject001
769,5.55,Subject001
770,5.54,Subject001
771,5.51,Subject001
772,5.5,Subject001
773,5.48,Subject001
774,5.46,Subject001
775,5.45,Subject001
776,5.43,Subject001
777,5.41,Subject001
778,5.4,Subject001
779,5.4,Subject001
780,5.4,Subject001
781,5.42,Subject001
782,5.45,Subject001
783,5.46,Subject001
784,5.47,Subject001
785,5.48,Subject001
786,5.5,Subject001
787,5.5,Subject001
788,5.52,Subject001
789,5.64,Subject001
790,5.66,Subject001
791,5.6,Subject001
792,5.54,Subject001
793,5.5,Subject001
794,5.47,Subject001
795,5.45,Subject001
796,5.59,Subject001
797,5.67,Subject001
798,5.63,Subject001
799,5.56,Subject001
800,5.54,Subject001
801,5.52,Subject001
802,5.49,Subject001
803,5.53,Subject001
804,5.59,Subject001
805,5.63,Subject001
806,5.64,Subject001
807,5.59,Subject001
808,5.62,Subject001
809,5.75,Subject001
810,5.73,Subject001
811,5.64,Subject001
812,5.57,Subject001
813,5.52,Subject001
814,5.5,Subject001
815,5.47,Subject001
816,5.47,Subject001
817,5.47,Subject001
818,5.45,Subject001
819,5.41,Subject001
820,5.39,Subject001
821,5.43,Subject001
822,5.49,Subject001
823,5.74,Subject001
824,5.9,Subject001
825,5.83,Subject001
826,5.69,Subject001
827,5.61,Subject001
828,5.57,Subject001
829,5.55,Subject001
830,5.6,Subject001
831,5.72,Subject001
832,5.7,Subject001
833,5.72,Subject001
834,5.9,Subject001
835,6.02,Subject001
836,6.01,Subject001
837,6.17,Subject001
838,6.4,Subject001
839,6.31,Subject001
840,6.12,Subject001
841,6.0,Subject001
842,5.94,Subject001
843,5.99,Subject001
844,6.1,Subject001
845,6.05,Subject001
846,5.99,Subject001
847,5.91,Subject001
848,5.88,Subject001
849,5.94,Subject001
850,5.9,Subject001
851,5.86,Subject001
852,5.83,Subject001
853,5.79,Subject001
854,5.8,Subject001
855,5.79,Subject001
856,5.75,Subject001
857,5.71,Subject001
858,5.68,Subject001
859,5.65,Subject001
860,5.7,Subject001
861,5.71,Subject001
862,5.79,Subject001
863,6.13,Subject001
864,6.22,Subject001
865,6.2,Subject001
866,6.17,Subject001
867,6.06,Subject001
868,5.93,Subject001
869,5.83,Subject001
870,5.79,Subject001
871,5.76,Subject001
872,5.76,Subject001
873,5.8,Subject001
874,5.84,Subject001
875,5.82,Subject001
876,5.82,Subject001
877,5.89,Subject001
878,5.9,Subject001
879,5.89,Subject001
880,5.84,Subject001
881,5.79,Subject001
882,5.75,Subject001
883,5.71,Subject001
884,5.73,Subject001
885,5.81,Subject001
886,5.86,Subject001
887,6.07,Subject001
888,6.12,Subject001
889,6.05,Subject001
890,6.05,Subject001
891,6.07,Subject001
892,5.98,Subject001
893,6.0,Subject001
894,6.32,Subject001
895,6.38,Subject001
896,6.25,Subject001
897,6.15,Subject001
898,6.05,Subject001
899,5.96,Subject001
900,6.04,Subject001
901,6.19,Subject001
902,6.16,Subject001
903,6.03,Subject001
904,5.93,Subject001
905,5.89,Subject001
906,6.05,Subject001
907,6.09,Subject001
908,6.06,Subject001
909,6.01,Subject001
910,5.93,Subject001
911,5.84,Subject001
912,5.78,Subject001
913,5.74,Subject001
914,5.69,Subject001
915,5.65,Subject001
916,5.62,Subject001
917,5.59,Subject001
918,5.58,Subject001
919,5.61,Subject001
920,5.64,Subject001
921,5.63,Subject001
922,5.7,Subject001
923,5.72,Subject001
924,5.73,Subject001
925,5.72,Subject001
926,5.65,Subject001
927,5.62,Subject001
928,5.6,Subject001
929,5.59,Subject001
930,5.54,Subject001
931,5.54,Subject001
932,5.56,Subject001
933,5.58,Subject001
934,5.64,Subject001
935,5.63,Subject001
936,5.6,Subject001
937,5.57,Subject001
938,5.54,Subject001
939,5.53,Subject001
940,5.51,Subject001
941,5.49,Subject001
942,5.49,Subject001
943,5.48,Subject001
944,5.47,Subject001
945,5.46,Subject001
946,5.44,Subject001
947,5.43,Subject001
948,5.41,Subject001
949,5.4,Subject001
950,5.39,Subject001
951,5.47,Subject001
952,5.55,Subject001
953,5.57,Subject001
954,5.6,Subject001
955,5.6,Subject001
956,5.56,Subject001
957,5.54,Subject001
958,5.56,Subject001
959,5.57,Subject001
960,5.54,Subject001
961,5.52,Subject001
962,5.49,Subject001
963,5.47,Subject001
964,5.56,Subject001
965,5.71,Subject001
966,5.73,Subject001
967,5.76,Subject001
968,5.69,Subject001
969,5.7,Subject001
970,5.71,Subject001
971,5.66,Subject001
972,5.62,Subject001
973,5.59,Subject001
974,5.57,Subject001
975,5.55,Subject001
976,5.51,Subject001
977,5.48,Subject001
978,5.47,Subject001
979,5.49,Subject001
980,5.49,Subject001
981,5.47,Subject001
982,5.45,Subject001
983,5.41,Subject001
984,5.41,Subject001
985,5.47,Subject001
986,5.51,Subject001
987,5.5,Subject001
988,5.47,Subject001
989,5.47,Subject001
990,5.51,Subject001
991,5.52,Subject001
992,5.51,Subject001
993,5.47,Subject001
994,5.44,Subject001
995,5.42,Subject001
996,5.42,Subject001
997,5.41,Subject001
998,5.41,Subject001
999,5.41,Subject001
1000,5.38,Subject001
1001,5.36,Subject001
1002,5.34,Subject001
1003,5.32,Subject001
1004,5.33,Subject001
1005,5.39,Subject001
1006,5.57,Subject001
1007,5.72,Subject001
1008,5.7,Subject001
1009,5.61,Subject001
1010,5.54,Subject001
1011,5.49,Subject001
1012,5.44,Subject001
1013,5.43,Subject001
1014,5.43,Subject001
1015,5.41,Subject001
1016,5.39,Subject001
1017,5.37,Subject001
1018,5.4,Subject001
1019,5.37,Subject001
1020,5.65,Subject001
1021,5.99,Subject001
1022,6.22,Subject001
1023,6.22,Subject001
1024,6.15,Subject001
1025,6.2,Subject001
1026,6.11,Subject001
1027,6.03,Subject001
1028,5.96,Subject001
1029,5.86,Subject001
1030,5.76,Subject001
1031,5.76,Subject001
1032,5.8,Subject001
1033,5.84,Subject001
1034,5.81,Subject001
1035,5.74,Subject001
1036,5.67,Subject001
1037,5.68,Subject001
1038,5.72,Subject001
1039,5.88,Subject001
1040,6.1,Subject001
1041,6.12,Subject001
1042,6.04,Subject001
1043,5.95,Subject001
1044,5.85,Subject001
1045,5.77,Subject001
1046,5.7,Subject001
1047,5.66,Subject001
1048,5.61,Subject001
1049,5.59,Subject001
1050,5.56,Subject001
1051,5.54,Subject001
1052,5.52,Subject001
1053,5.5,Subject001
1054,5.48,Subject001
1055,5.47,Subject001
1056,5.45,Subject001
1057,5.43,Subject001
1058,5.42,Subject001
1059,5.41,Subject001
1060,5.39,Subject001
1061,5.38,Subject001
1062,5.37,Subject001
1063,5.36,Subject001
1064,5.35,Subject001
1065,5.35,Subject001
1066,5.37,Subject001
1067,5.39,Subject001
1068,5.38,Subject001
1069,5.37,Subject001
1070,5.37,Subject001
1071,5.36,Subject001
1072,5.34,Subject001
1073,5.33,Subject001
1074,5.32,Subject001
1075,5.31,Subject001
1076,5.32,Subject001
1077,5.32,Subject001
1078,5.32,Subject001
1079,5.3,Subject001
1080,5.33,Subject001
1081,5.39,Subject001
1082,5.41,Subject001
1083,5.4,Subject001
1084,5.37,Subject001
1085,5.36,Subject001
1086,5.36,Subject001
1087,5.35,Subject001
1088,5.33,Subject001
1089,5.33,Subject001
1090,5.31,Subject001
1091,5.3,Subject001
1092,5.28,Subject001
1093,5.28,Subject001
1094,5.27,Subject001
1095,5.27,Subject001
1096,5.27,Subject001
1097,5.26,Subject001
1098,5.26,Subject001
1099,5.26,Subject001
1100,5.25,Subject001
1101,5.24,Subject001
1102,5.22,Subject001
1103,5.21,Subject001
1104,5.21,Subject001
1105,5.21,Subject001
1106,5.2,Subject001
1107,5.19,Subject001
1108,5.2,Subject001
1109,5.21,Subject001
1110,5.2,Subject001
0,6.18,Subject002
1,6.22,Subject002
2,6.21,Subject002
3,6.2,Subject002
4,6.25,Subject002
5,6.33,Subject002
6,6.35,Subject002
7,6.37,Subject002
8,6.49,Subject002
9,6.58,Subject002
10,6.57,Subject002
11,6.55,Subject002
12,6.51,Subject002
13,6.49,Subject002
14,6.45,Subject002
15,6.43,Subject002
16,6.39,Subject002
17,6.34,Subject002
18,6.33,Subject002
19,6.34,Subject002
20,6.36,Subject002
21,6.35,Subject002
22,6.33,Subject002
23,6.37,Subject002
24,6.39,Subject002
25,6.4,Subject002
26,6.49,Subject002
27,6.58,Subject002
28,6.71,Subject002
29,6.82,Subject002
30,6.89,Subject002
31,6.95,Subject002
32,7.12,Subject002
33,7.2,Subject002
34,7.22,Subject002
35,7.2,Subject002
36,7.14,Subject002
37,7.08,Subject002
38,7.04,Subject002
39,7.12,Subject002
40,7.2,Subject002
41,7.15,Subject002
42,7.08,Subject002
43,7.01,Subject002
44,6.94,Subject002
45,6.87,Subject002
46,6.8,Subject002
47,6.73,Subject002
48,6.7,Subject002
49,6.82,Subject002
50,6.92,Subject002
51,6.85,Subject002
52,6.79,Subject002
53,6.73,Subject002
54,6.68,Subject002
55,6.68,Subject002
56,6.68,Subject002
57,6.66,Subject002
58,6.63,Subject002
59,6.61,Subject002
60,6.6,Subject002
61,6.59,Subject002
62,6.54,Subject002
63,6.5,Subject002
64,6.45,Subject002
65,6.43,Subject002
66,6.53,Subject002
67,6.59,Subject002
68,6.57,Subject002
69,6.54,Subject002
70,6.51,Subject002
71,6.51,Subject002
72,6.51,Subject002
73,6.49,Subject002
74,6.47,Subject002
75,6.53,Subject002
76,6.61,Subject002
77,6.62,Subject002
78,6.61,Subject002
79,6.61,Subject002
80,6.63,Subject002
81,6.65,Subject002
82,6.63,Subject002
83,6.61,Subject002
84,6.57,Subject002
85,6.54,Subject002
86,6.53,Subject002
87,6.5,Subject002
88,6.5,Subject002
89,6.5,Subject002
90,6.51,Subject002
91,6.57,Subject002
92,6.61,Subject002
93,6.62,Subject002
94,6.61,Subject002
95,6.65,Subject002
96,6.69,Subject002
97,6.71,Subject002
98,6.71,Subject002
99,6.68,Subject002
100,6.67,Subject002
101,6.71,Subject002
102,6.76,Subject002
103,6.82,Subject002
104,6.87,Subject002
105,6.87,Subject002
106,6.84,Subject002
107,6.8,Subject002
108,6.88,Subject002
109,7.03,Subject002
110,7.0,Subject002
111,6.97,Subject002
112,6.99,Subject002
113,7.02,Subject002
114,7.03,Subject002
115,7.01,Subject002
116,6.98,Subject002
117,6.95,Subject002
118,6.92,Subject002
119,6.9,Subject002
120,6.94,Subject002
121,6.98,Subject002
122,6.97,Subject002
123,6.95,Subject002
124,6.99,Subject002
125,7.01,Subject002
126,7.03,Subject002
127,7.04,Subject002
128,7.04,Subject002
129,7.07,Subject002
130,7.17,Subject002
131,7.23,Subject002
132,7.24,Subject002
133,7.23,Subject002
134,7.2,Subject002
135,7.17,Subject002
136,7.18,Subject002
137,7.19,Subject002
138,7.24,Subject002
139,7.26,Subject002
140,7.23,Subject002
141,7.22,Subject002
142,7.2,Subject002
143,7.16,Subject002
144,7.1,Subject002
145,7.06,Subject002
146,7.07,Subject002
147,7.16,Subject002
148,7.18,Subject002
